zip_code,latitude,longitude
02889,41.71410,-71.39010
02891,41.36910,-71.81260
02892,41.50580,-71.62110
02893,41.70040,-71.51830
02894,41.45000,-71.70740
02895,41.98460,-71.51940
02896,41.97240,-71.55080
02898,41.50410,-71.66300
02901,41.82270,-71.41450
02902,41.81840,-71.42490
02903,41.82000,-71.41580
02904,41.85410,-71.43780
02905,41.78450,-71.39590
02906,41.83510,-71.39710
02907,41.79710,-71.42550
02908,41.83830,-71.43770
02909,41.82060,-71.44430
02910,41.77660,-71.43830
02911,41.85470,-71.47350
02912,41.82400,-71.41280
02914,41.81380,-71.36880
02915,41.77230,-71.35420
02916,41.84250,-71.35590
02917,41.89640,-71.52070
02918,41.84150,-71.44040
02919,41.82740,-71.52000
02920,41.77160,-71.46590
02921,41.76140,-71.50610
02940,41.82400,-71.41280
03031,42.85690,-71.60750
03032,42.99250,-71.34490
03033,42.73840,-71.66630
03034,43.05850,-71.30490
03036,42.96780,-71.24500
03037,43.13780,-71.25130
03038,42.88740,-71.30200
03040,43.04810,-71.24870
03041,42.89450,-71.29120
03042,43.04110,-71.07640
03043,42.99200,-71.81130
03044,42.98400,-71.12180
03045,43.02010,-71.56970
03046,43.10250,-71.61690
03047,42.94930,-71.87280
03048,42.74820,-71.76190
03049,42.74850,-71.57720
03051,42.76900,-71.41210
03052,42.84300,-71.45500
03053,42.86560,-71.37720
03054,42.86670,-71.51280
03055,42.82850,-71.66060
03057,42.89760,-71.67620
03060,42.75640,-71.46670
03061,42.76540,-71.46760
03062,42.72350,-71.48930
03063,42.77170,-71.51320
03064,42.77900,-71.47480
03070,42.97220,-71.68640
03071,42.75110,-71.87030
03073,42.83700,-71.22060
03076,42.72880,-71.30460
03077,43.03250,-71.19120
03079,42.78460,-71.21760
03082,42.89540,-71.77440
03084,42.82000,-71.85230
03086,42.83680,-71.75410
03087,42.80510,-71.30670
03101,42.99290,-71.46330
03102,42.99440,-71.48840
03103,42.96560,-71.44930
03104,43.00730,-71.44820
03105,42.99560,-71.45480
03106,43.06170,-71.44440
03108,42.99560,-71.45480
03109,42.97130,-71.41350
03110,42.94030,-71.52130
03111,42.99560,-71.45480
03215,43.95010,-71.49950
03216,43.42870,-71.78300
03217,43.70340,-71.61210
03218,43.33490,-71.28870
03220,43.45120,-71.48900
03221,43.25170,-71.96170
03222,43.61200,-71.75070
03223,43.84180,-71.66520
03224,43.35700,-71.55700
03225,43.35660,-71.24240
03226,43.71070,-71.47970
03227,43.81620,-71.45060
03229,43.19780,-71.69680
03230,43.51150,-71.86910
03231,43.45950,-71.74760
03233,43.42090,-71.93730
03234,43.21740,-71.35460
03235,43.44260,-71.64910
03237,43.41750,-71.41210
03238,43.98280,-71.89340
03240,43.57270,-71.96340
03241,43.71860,-71.82700
03242,43.17910,-71.81590
03243,43.52740,-71.72920
03244,43.11410,-71.89920
03245,43.73780,-71.60440
03246,43.57270,-71.47810
03247,43.58900,-71.44550
03249,43.54750,-71.40720
03251,44.05820,-71.67270
03252,43.46860,-71.53710
03253,43.63110,-71.49970
03254,43.72810,-71.39220
03255,43.32170,-72.01180
03256,43.61840,-71.64350
03257,43.41450,-71.98570
03258,43.24400,-71.41050
03259,43.84520,-71.38500
03260,43.36530,-71.93410
03261,43.20700,-71.20040
03262,44.03540,-71.68630
03263,43.28740,-71.33300
03264,43.75700,-71.68810
03266,43.80440,-71.84800
03268,43.40670,-71.70450
03269,43.54960,-71.60030
03272,43.29560,-71.99670
03273,43.30420,-71.92890
03275,43.16040,-71.41790
03276,43.46030,-71.57740
03278,43.30350,-71.83530
03279,43.94470,-71.89010
03280,43.17470,-72.08240
03281,43.07140,-71.70380
03282,43.86850,-71.90970
03284,43.49380,-72.04700
03285,43.90500,-71.64700
03287,43.44850,-71.91580
03289,43.49640,-71.51970
03290,43.11960,-71.11100
03291,43.18230,-71.13960
03293,43.97760,-71.68510
03298,43.52490,-71.44580
03299,43.52490,-71.44580
03301,43.21850,-71.52770
03302,43.31030,-71.66290
03303,43.28170,-71.65950
03304,43.13880,-71.54480
03305,43.21340,-71.51720
03307,43.31930,-71.46700
03431,42.96270,-72.29550
03435,42.93370,-72.27810
03440,43.05950,-71.93870
03441,42.78510,-72.43490
03442,43.01030,-71.91530
03443,42.88390,-72.45480
03444,42.89720,-72.05050
03445,42.99820,-72.20190
03446,42.84110,-72.33010
03447,42.76110,-72.14500
03448,43.03990,-72.27190
03449,42.97680,-71.98190
03450,42.93990,-72.09720
03451,42.80270,-72.50150
03452,42.81780,-72.02750
03455,42.89880,-72.20130
03456,43.13260,-72.21090
03457,42.99060,-72.13090
03458,42.88560,-71.94700
03461,42.75440,-72.01900
03462,42.91200,-72.41030
03464,43.07390,-72.10880
03465,42.82700,-72.18480
03466,42.89560,-72.50970
03467,42.96900,-72.43580
03468,42.89080,-71.93340
03469,42.87340,-72.31510
03470,42.77880,-72.34400
03561,44.31120,-71.77680
03570,44.48110,-71.18920
03574,44.28080,-71.68290
03575,44.25810,-71.44120
03576,44.90780,-71.47930
03579,44.80030,-71.14360
03580,44.20530,-71.75180
03581,44.40480,-71.15480
03582,44.59840,-71.50640
03583,44.39990,-71.45180
03584,44.49210,-71.55910
03585,44.21480,-71.89660
03586,44.22030,-71.79640
03588,44.58700,-71.18100
03589,44.69560,-71.38740
03590,44.71490,-71.56440
03592,45.08660,-71.36360
03593,44.37530,-71.27980
03595,44.26890,-71.54710
03597,44.69560,-71.38740
03598,44.36810,-71.60350
03601,43.19600,-72.30010
03602,43.12650,-72.32810
03603,43.25730,-72.40640
03604,43.12810,-72.39200
03605,43.21360,-72.19680
03607,43.19560,-72.26860
03608,43.07650,-72.41550
03609,43.14280,-72.44830
03740,44.18080,-71.98280
03741,43.66010,-72.02970
03743,43.36790,-72.34220
03745,43.49630,-72.33940
03746,43.49730,-72.27950
03748,43.62560,-72.12700
03749,43.57960,-72.08540
03750,43.71130,-72.21250
03751,43.43170,-72.06730
